problem,objectives,algorithm,run,evaluations,population,delta_p,convergence,runtime_s,nondominated_size
DTLZ1,2,ir2,0,500,30,19.71743192965273,18.300568890256624,2.1990453480002543,6
DTLZ1,2,r2,0,500,30,39.75136210750535,35.53807448495998,2.287703519000388,9
DTLZ1,2,sms,0,500,30,22.496210218097197,21.32226473197161,2.234190151999883,14
DTLZ1,2,ir2,1,500,30,14.09703726392026,13.468204980935939,2.3045802830001776,11
DTLZ1,2,r2,1,500,30,22.462438972055363,20.222245288714817,2.3015158999996856,9
DTLZ1,2,sms,1,500,30,42.6954752254394,22.78221506200312,2.1526874030000727,21
DTLZ1,2,ir2,2,500,30,46.17701529505925,39.67880271127988,2.1773859239997364,10
DTLZ1,2,r2,2,500,30,37.340694477853496,23.988982354774315,2.2509974979998333,11
DTLZ1,2,sms,2,500,30,12.31281215793477,11.903309431117604,2.195031454999935,21
DTLZ1,3,ir2,0,500,30,18.202500746477114,17.23057767626341,2.157800699999825,18
DTLZ1,3,r2,0,500,30,36.447868377060246,27.347936574300167,2.1831553530000747,26
DTLZ1,3,sms,0,500,30,82.9009346946232,61.50493675615908,2.097491414999695,27
DTLZ1,3,ir2,1,500,30,56.892528204466146,46.5300429672342,2.180057259000023,30
DTLZ1,3,r2,1,500,30,42.932159474436105,33.72125414119208,2.175786194000011,22
DTLZ1,3,sms,1,500,30,41.051664289004925,29.390083313566954,2.1643910989996584,13
DTLZ1,3,ir2,2,500,30,72.2623868835613,53.508749677707776,2.0870998469999904,27
DTLZ1,3,r2,2,500,30,42.38981741933453,35.53369725196633,2.143114670000159,23
DTLZ1,3,sms,2,500,30,81.16141219290182,70.94643628709451,2.0997158000000127,30
DTLZ2,2,ir2,0,500,30,0.0763935884148988,0.038886691021709906,2.0772402460002013,30
DTLZ2,2,r2,0,500,30,0.08811112292192669,0.0732335170389142,2.1333002020001004,25
DTLZ2,2,sms,0,500,30,0.1004855945068091,0.046048528773980704,2.0557393980002416,30
DTLZ2,2,ir2,1,500,30,0.09060355507056779,0.0641073041727978,2.2160657049998918,30
DTLZ2,2,r2,1,500,30,0.06981789096719304,0.02652090512908135,2.2738261889999194,20
DTLZ2,2,sms,1,500,30,0.1339410953394121,0.04781536197785516,2.1433271000000786,26
DTLZ2,2,ir2,2,500,30,0.12215548033433302,0.04754448330102787,2.0853568939996876,27
DTLZ2,2,r2,2,500,30,0.111782588315598,0.046022441522194577,2.2057814219997454,20
DTLZ2,2,sms,2,500,30,0.06370012624814521,0.03334203703278827,2.110655955999846,30
DTLZ2,3,ir2,0,500,30,0.22760066115750172,0.1541940891596857,2.21033584900033,30
DTLZ2,3,r2,0,500,30,0.21886510834429082,0.13227226068752307,2.243723365999813,30
DTLZ2,3,sms,0,500,30,0.18879887782556254,0.12345428517564978,2.1860474779996366,30
DTLZ2,3,ir2,1,500,30,0.2844383252495106,0.1416669260523461,2.268675452000025,30
DTLZ2,3,r2,1,500,30,0.24176229348337858,0.07048439802669502,2.2482126959998823,30
DTLZ2,3,sms,1,500,30,0.20879283772863355,0.1343267340963558,2.109691113000281,30
DTLZ2,3,ir2,2,500,30,0.22587476257711137,0.16311504444613228,2.2270417340000677,30
DTLZ2,3,r2,2,500,30,0.2009057233748462,0.14833259613003913,2.302536976000283,30
DTLZ2,3,sms,2,500,30,0.18907687105686652,0.10706066414988798,2.168248129999938,30
